,Year_Month,HMV,LMV,MSL
368,Aug-90,155,22,80.5
369,Sep-90,141,4,79.9
370,Oct-90,143,-1,68.7
371,Nov-90,153,-1,62.7
372,Dec-90,132,-15,53.6
373,Jan-91,138,-11,59.5
374,Feb-91,141,-9,61.4
375,Mar-91,135,-21,57.4
376,Apr-91,135,-11,60.7
377,May-91,138,3,65.2
378,Jun-91,150,15,73
379,Jul-91,150,6,77.5
380,Aug-91,168,19,92.4
381,Sep-91,155,11,83.2
382,Oct-91,142,5,77.7
383,Nov-91,134,-3,63.2
384,Dec-91,143,-2,64.5
385,Jan-92,135,-15,60.6
386,Feb-92,140,-24,58.7
387,Mar-92,135,-13,62.2
388,Apr-92,144,1,70.4
389,May-92,139,9,71.8
390,Jun-92,141,8,72
391,Jul-92,155,2,72.9
392,Aug-92,153,-1,81.8
393,Sep-92,161,6,82.4
394,Oct-92,149,4,80.1
395,Nov-92,136,10,67.5
396,Dec-92,132,0,61
397,Jan-93,138,-4,60.2
398,Feb-93,145,-26,56.4
399,Mar-93,133,-27,60.7
400,Apr-93,144,-10,68.4
401,May-93,142,-4,68.4
402,Jun-93,151,9,70.9
403,Jul-93,148,10,78.2
404,Aug-93,150,3,81.7
405,Sep-93,148,-1,76.3
406,Oct-93,138,-5,70.4
407,Nov-93,148,-5,60.2
408,Dec-93,134,-14,55.3
409,Jan-94,138,-10,63.9
410,Feb-94,131,-25,61
411,Mar-94,135,-30,58.3
412,Apr-94,145,-6,65.8
413,May-94,145,-4,66.2
414,Jun-94,145,15,72.5
415,Jul-94,151,12,74.7
416,Aug-94,149,8,78.2
417,Sep-94,155,3,82.5
418,Oct-94,142,-3,74.3
419,Nov-94,139,-7,61.2
420,Dec-94,127,-18,60
421,Jan-95,134,-1,60.2
422,Feb-95,143,0,65.8
423,Mar-95,134,-18,62.6
424,Apr-95,139,-9,63.8
425,May-95,149,0,68.4
426,Jun-95,145,6,74.3
427,Jul-95,137,0,69.6
428,Aug-95,135,-4,66.8
429,Sep-95,141,-4,71.6
430,Oct-95,137,-1,68.5
431,Nov-95,140,-19,57.7
432,Dec-95,131,-8,65.6
433,Jan-96,139,-9,60.2
434,Feb-96,122,-34,53.5
435,Mar-96,128,-21,55.5
436,Apr-96,136,-17,57.9
437,May-96,140,0,68.5
438,Jun-96,147,0,73.2
439,Jul-96,149,0,73.7
440,Aug-96,158,3,78.7
441,Sep-96,140,-4,76
442,Oct-96,137,0,72
443,Nov-96,139,3,64.8
444,Dec-96,125,-7,59.7
445,Jan-97,138,-12,61.9
446,Feb-97,145,-12,60.8
447,Mar-97,138,-21,58.2
448,Apr-97,137,-16,60.3
449,May-97,145,-10,68.8
450,Jun-97,145,14,77.6
451,Jul-97,146,4,79.2
452,Aug-97,156,7,80
453,Sep-97,158,7,79.2
454,Oct-97,141,-13,64.1
455,Nov-97,146,-4,66.7
456,Dec-97,141,-2,65.3
457,Jan-98,139,-18,63.5
458,Feb-98,142,-12,62.7
459,Mar-98,136,-23,64.2
460,Apr-98,144,-10,63
461,May-98,145,7,67.6
462,Jun-98,151,23,82.6
463,Jul-98,160,21,86.5
464,Aug-98,149,18,82
465,Sep-98,152,7,84.6
466,Oct-98,152,-6,77.7
467,Nov-98,141,-14,67.1
468,Dec-98,140,-3,61.8
469,Jan-99,138,-2,61.1
